Fp1,Fp2,C3,C4,P7,P8,O1,O2
9036.430303624906,8611.590696762883,-49973.76203224207,-68552.71083744895,-29740.15828849772,-52021.69591447066,-66921.36876837835,-70723.19933452598
9028.003695965255,8542.680268607171,-50016.27505019606,-68603.06931770674,-29238.585142920634,-52073.68607207371,-66911.89162872931,-70772.12730313865
9018.995942949765,8401.03726399389,-50195.670151194354,-68782.8891018497,-28576.03473377642,-52257.77503940762,-67051.05358970804,-70956.12686349475
9025.723818030812,8450.836950640316,-50177.49818295219,-68758.97273528251,-28986.68098290932,-52232.405809450844,-67080.64729936687,-70939.31835166435
9048.656707841958,8609.80255720646,-49979.528782311536,-68551.79441592627,-29691.565596051885,-52024.512234272035,-66930.30946616047,-70729.7930991403
9048.41083865295,8586.377929017297,-49971.03511941852,-68555.37069503912,-29339.458565647434,-52023.7299232161,-66877.00055563457,-70718.99720656838
9010.725797501302,8407.072234996824,-50179.040453319605,-68759.68799110508,-28561.237878947006,-52242.7323153892,-67029.43945281976,-70936.30086616288
9021.901669728955,8425.020685794436,-50195.35722677198,-68782.91145359415,-28801.340317885915,-52262.692423187786,-67083.44126742378,-70958.11616875126
9044.253414184263,8589.21660056312,-50002.238154678125,-68585.81377098725,-29559.08680666528,-52070.378013894326,-66947.63206811334,-70761.86785243367
9039.671306570925,8593.597542476362,-49955.16538085525,-68541.84788964366,-29433.15707840408,-52020.801844692454,-66870.87617765382,-70716.44910770048
9024.919155230422,8440.085761557313,-50133.64406033088,-68725.26630464391,-28639.91601942969,-52197.738253800664,-66985.54062670954,-70895.84420869878
9021.633448795492,8404.457080895554,-50211.36107580198,-68800.70344218057,-28666.291077886952,-52274.31533030455,-67083.75419184616,-70971.1025322798
9040.587728093593,8556.851274591836,-50045.84640811043,-68623.99055051692,-29459.666247328074,-52107.86188934588,-66979.95269059572,-70801.89982675313
9043.471103128328,8606.60625774935,-49952.48317152062,-68539.0315698423,-29522.65346320313,-52014.789225433975,-66874.02777362202,-70719.19837226848
9020.985248206289,8459.464724000063,-50111.1805571533,-68705.52971428988,-28734.150974053264,-52177.062890179506,-66970.22968175766,-70880.86853991372
9018.191280149375,8394.845830779772,-50218.44657879431,-68810.89583765219,-28582.31557396836,-52280.26089432966,-67084.33533720199,-70979.66325040619
9044.655745584458,8540.176873228178,-50064.599521708435,-68649.22567000696,-29339.503269136345,-52126.68205817724,-67003.19850482923,-70835.60625739173
9061.151332992475,8636.848167997381,-49919.3802379823,-68507.29209271575,-29584.74660929997,-51987.78831813196,-66862.60603220535,-70695.0361365123
9035.089198957587,8501.106023920302,-50053.490704714146,-68662.12262655767,-28855.409187723304,-52126.54794771051,-66926.26380041406,-70826.30793169832
9022.058131940143,8391.42601387811,-50206.62250597746,-68803.85503814877,-28492.752133935945,-52284.32891182052,-67063.97289800321,-70988.33572725485
9042.152350205464,8508.415044357187,-50097.09895814645,-68686.39662103612,-29180.649421292477,-52165.52939004057,-67019.11294688142,-70876.28643230039
9061.687774859402,8634.94826971868,-49927.33745900839,-68516.65747364252,-29648.15850831968,-51989.57645768839,-66868.90922414175,-70698.45595341397
9042.17470194992,8530.386809156753,-50023.069980510474,-68617.03915799131,-29050.98695170724,-52097.6471421298,-66899.41935532325,-70795.48487609444
9036.653821069458,8407.027531507914,-50191.2445057922,-68792.45564847656,-28507.16900910962,-52269.91203664685,-67042.85049949295,-70972.28717473593
9058.133847491008,8499.228477386056,-50119.830682257496,-68712.92814170459,-29024.63424499443,-52183.38843386036,-67035.13914765586,-70904.5837407808
9074.405917454473,8640.826778510425,-49935.7864184125,-68523.4747557014,-29623.1916097631,-52003.50159448405,-66891.66329999725,-70723.22168627044
9058.9385102914,8571.469315465607,-49975.08078516493,-68573.3862010701,-29160.82342396062,-52049.255615384056,-66875.99472713408,-70756.72695120896
9032.854024512057,8413.733054844506,-50173.49722069469,-68771.26619473293,-28486.024258854897,-52256.05395508456,-67029.35004584194,-70958.67496236265
9041.861777527545,8461.990471123514,-50156.666357119844,-68751.06021774534,-28867.18855705125,-52230.64002163888,-67060.1731014458,-70938.20076444159
9067.74509760679,8626.298144614477,-49959.07693613493,-68543.61367745564,-29585.350106400267,-52025.60746975034,-66914.48443108612,-70734.48696547592
9058.357364935562,8600.303065812954,-49951.902026164775,-68545.44652050096,-29282.59572775313,-52027.84264419587,-66861.68961068269,-70729.68134041803
9037.21261468084,8440.555148190875,-50140.796618556575,-68746.8804415322,-28536.606256557257,-52227.175501248304,-66986.8593796324,-70926.08611894681
9041.235928682796,8443.52793020343,-50176.78292712962,-68775.89300583518,-28767.186852358205,-52262.04422259858,-67056.1721391883,-70963.52529090946
9063.252396971273,8608.66261823924,-49987.3965963598,-68568.04413414528,-29555.1752513856,-52063.96306323565,-66926.8449457699,-70767.14286412513
9065.867551072544,8632.266060384043,-49923.537662450995,-68508.58849389416,-29477.413532425588,-52004.10509158434,-66834.7781103585,-70703.50744766086
9057.887978302,8482.621131255763,-50088.71705397571,-68687.67067047008,-28670.381447122272,-52178.49340182464,-66931.67292257225,-70868.93270837459
9044.611042095548,8430.832139352815,-50186.97532260124,-68784.74429663949,-28663.228888896574,-52275.1870483383,-67047.54436582857,-70967.63801188923
9065.778144094724,8585.21563830562,-50019.583108375446,-68607.87494276464,-29490.332840720755,-52100.88814507582,-66954.96344029468,-70801.206922675
9085.60414142658,8658.1940839522,-49896.179127237694,-68476.37963013406,-29605.734897343507,-51972.58913190236,-66824.31749395341,-70677.46766537042
9058.290309702195,8507.766843767982,-50055.14473380384,-68650.87969909665,-28816.785373304534,-52150.41961078878,-66913.16567816326,-70845.84335635226
9050.64601309848,8431.949726575582,-50179.42043297535,-68773.00963080044,-28580.058047778377,-52266.00048136717,-67043.87867973789,-70973.36005846979
9081.871400102544,8577.727803913094,-50033.82116959348,-68621.88948653812,-29301.058268673216,-52103.88327883283,-66966.49694043362,-70812.98629200296
9084.374795481539,8664.027889255034,-49898.995447039066,-68481.67699356997,-29592.301498925866,-51966.30829171042,-66834.75575861403,-70670.11394144464
9070.628472641525,8546.211844231111,-50013.45873039469,-68602.42111711754,-28876.755103678122,-52094.696711861696,-66882.02969813702,-70794.65786154961
9050.109571231553,8424.66305788315,-50180.60507543148,-68777.6811453916,-28451.44611018254,-52255.91984461783,-67032.90397321034,-70963.90527056518
9065.129943505519,8531.660858590705,-50083.062062628516,-68669.81162665029,-29073.539861862646,-52148.385602043345,-67002.34913853992,-70864.81998739482
9091.437946729417,8668.47588640164,-49898.079025516396,-68472.3563161321,-29547.776823970897,-51965.436573676656,-66844.36700872982,-70674.45017986896
9079.569170423647,8578.912446369224,-49971.213933374165,-68562.83617768719,-28959.97064828523,-52043.175940892215,-66845.55165118595,-70740.99132311241
9050.35544042056,8430.250993996977,-50167.39519445839,-68770.55093891037,-28397.019612433865,-52252.969414349725,-67004.070222863,-70955.2998489499
9061.240739970295,8503.855288488305,-50115.02505719961,-68715.49859231694,-28916.13887740837,-52205.56136436002,-67005.54543799705,-70904.15905763615
9075.545856421693,8648.51577860305,-49928.58915669789,-68518.40090971005,-29563.110120667236,-51997.89130662577,-66861.7343141716,-70695.4831714014
9069.734402863312,8597.330283800398,-49952.48317152062,-68551.2803258038,-29132.61552245802,-52027.90969942924,-66836.78976735947,-70719.71246239096
9047.963803763843,8441.538624946908,-50146.473961648226,-68750.99316251196,-28425.451031381017,-52227.75664660414,-66984.02070808658,-70920.7887555109
9054.89284454499,8481.1012126328,-50137.5332638661,-68730.2730954019,-28787.45988457917,-52214.25619295314,-67021.23636260467,-70915.96077870856
9087.504039705282,8655.556578106472,-49936.658136446255,-68525.37465398009,-29535.550419753843,-52006.00498986304,-66876.03943062299,-70717.11966003415
9086.431155971428,8646.772342535538,-49919.49199670458,-68507.24738922685,-29297.79491398274,-51987.43069022068,-66816.7179008386,-70693.02447951132
9069.51088541876,8489.594875525818,-50102.79865298256,-68699.9641299205,-28543.98233222751,-52180.90739022582,-66941.41828315477,-70883.77426669291
9063.252396971273,8474.172171851656,-50151.36899368394,-68740.75606355144,-28696.175360223697,-52225.76734134762,-67022.91274343882,-70937.08317721882
9080.642054157503,8630.813196994448,-49975.08078516493,-68554.47662526091,-29464.337761919232,-52043.734734503596,-66911.51164907357,-70756.61519248667
9083.03369081422,8661.09981073139,-49908.24906924356,-68499.44663041194,-29397.14841808658,-51983.116803540805,-66818.84131656185,-70688.75529632036
9059.117324247041,8501.284837875943,-50083.59850449544,-68679.89226339964,-28593.89377759621,-52166.3117010965,-66928.2978091595,-70869.1785775636
9046.399181651972,8445.628994182229,-50185.16483130036,-68786.15245654016,-28548.184460185108,-52272.05780411456,-67047.87964199539,-70972.68950613613
9068.79562959619,8598.1796500897,-50022.04180026553,-68611.18300094402,-29334.116498722615,-52098.205935741185,-66953.46587341618,-70807.3089489113
9085.648844915491,8676.90249406129,-49895.352112692846,-68483.0628017262,-29489.237605242444,-51970.08573652336,-66821.67998810769,-70680.66396482754
9066.336937706106,8537.44996040463,-50041.48781794165,-68645.31411472728,-28721.812811113934,-52132.806436157996,-66898.74880298959,-70831.42648117858
9059.005565524765,8456.201369309589,-50170.01034855966,-68774.95423256805,-28467.226441767987,-52267.96743487924,-67024.5220690396,-70963.77116009846
9083.771298381245,8592.994045376068,-50033.55294866001,-68629.33261744173,-29199.000203490283,-52125.29625002101,-66959.4561409302,-70827.00083577643
9103.641999202013,8704.350436252409,-49877.06838572841,-68468.46711259689,-29517.445506745044,-51964.251931220526,-66816.33792118287,-70664.77187451982
9084.307740248172,8583.136926071278,-49992.55984932898,-68597.54843682628,-28823.110916985384,-52088.192354225204,-66862.15899731625,-70782.47616082146
9068.415649940449,8463.465686257565,-50159.97441529923,-68767.28758421988,-28388.593004774215,-52259.339661519494,-67013.07797587848,-70960.68661936362
9078.183362267418,8560.539312426963,-50078.09997535944,-68680.98749887795,-29030.64686425291,-52172.74900349963,-66998.83991466045,-70878.05222011235
9101.250362545296,8695.923828592757,-49895.32976094839,-68489.70126982943,-29553.409463573633,-51980.00991106152,-66836.11921502581,-70677.04298222577
9091.214429284862,8612.104786885357,-49956.372375055835,-68556.75650319536,-29001.477837738734,-52036.9845076781,-66832.58763940187,-70734.2410962869
9077.468106444849,8472.272273572955,-50136.63919408789,-68741.11369146273,-28390.984641430932,-52225.52147215861,-66974.18594052625,-70921.32519737782
9080.038557057209,8530.029181245469,-50106.1737663953,-68708.30133060233,-28875.65986819981,-52192.4185386203,-67003.08674610696,-70896.40300231017
9097.472917732348,8675.695499860705,-49917.12271179232,-68513.84115384116,-29559.220917132014,-52003.36748401731,-66864.34946827286,-70718.37135772363
9077.624568656036,8619.682028255706,-49946.179979584216,-68549.02279961381,-29158.85647044855,-52032.64826925377,-66838.82377610491,-70744.25467780289
9075.344690721595,8483.068166144869,-50117.796673512064,-68723.36640636521,-28431.9106855286,-52205.650771337845,-66962.27246073156,-70903.06382215784
9088.062833316664,8516.528727594463,-50119.07072294602,-68715.61035103921,-28737.436680488194,-52198.85584102343,-67008.89819966533,-70906.05895591485
9100.021016600254,8665.927787533736,-49940.14500858128,-68530.09087206017,-29483.47085517298,-52019.57249874741,-66883.8848929268,-70732.22943928593
9099.015188099766,8663.603206110383,-49904.60573489735,-68497.01029026632,-29262.210936809894,-51983.0721000519,-66807.53133386748,-70699.39472668109
9081.357309980072,8505.799890255916,-50087.55476326404,-68680.74162968894,-28475.898918616644,-52165.21646561819,-66924.78858528001,-70881.15911259165
9073.467144187349,8482.554076022396,-50153.71592685174,-68743.63943858618,-28604.980242846043,-52218.07834125499,-67016.54249626904,-70942.78287205493
9099.104595077586,8648.0910954584,-49969.872828706844,-68551.79441592627,-29433.73822375992,-52019.259574325035,-66896.62538726632,-70754.51412850787
9101.004493356288,8685.038529043022,-49890.792356823964,-68470.79169402024,-29441.181354663535,-51936.08873320684,-66792.0639267044,-70668.41520886603
9079.926798334933,8530.11858822329,-50058.40808849432,-68656.64644916612,-28670.895537244745,-52111.99696207011,-66890.70217498568,-70839.83073709378
9077.781030867223,8476.362642808275,-50157.515723409146,-68748.71328457753,-28606.634271935734,-52208.91412602832,-67002.57265598449,-70942.31348542136
9096.578847954137,8623.99591493558,-50002.81930003397,-68581.41047732955,-29394.265043051844,-52048.02626943902,-66919.82649801094,-70785.85127423421
9098.746967166302,8693.1522122803,-49885.33853117687,-68471.61870856509,-29586.24417617848,-51934.2111866726,-66797.98713898506,-70667.56584257673
9076.17170526644,8555.264300735511,-50026.713314856686,-68621.84478304921,-28833.88445781284,-52082.11267973336,-66872.12787534331,-70811.22050419099
9062.380678937518,8458.794171666405,-50169.63036890392,-68768.76279935394,-28527.419689586128,-52215.28437319808,-67008.45116477623,-70955.07633150535
9076.641091900003,8579.560646958429,-50048.84154186744,-68636.26165822288,-29255.483061728846,-52088.52763039203,-66963.23358574315,-70835.22627773599
9115.399016785505,8715.369846268875,-49862.02566170999,-68450.89864145502,-29673.326572576356,-51915.7039422636,-66798.83650527436,-70652.23254588038
9096.064757831664,8601.867687924825,-49968.8446484619,-68573.36384932564,-29009.725631442743,-52020.28775456998,-66834.73340686958,-70758.93977391002
9079.435059956915,8478.486058531531,-50141.578929612515,-68748.46741538851,-28532.940570466588,-52199.90637301283,-66983.46191447519,-70941.73234006553
9106.123042836552,8583.092222582367,-50054.42947798127,-68653.47250145346,-29134.80599341464,-52106.83370910093,-66963.0547717875,-70851.90067909965
9112.42623477295,8705.289209519531,-49883.885667787275,-68468.24359515234,-29699.70163103362,-51931.394866871226,-66827.33497945487,-70669.42103736651
9092.89081011901,8621.1348916453,-49948.482209263115,-68554.18605258298,-29172.28986886619,-52005.33443752938,-66826.32915095439,-70730.68716891852
9077.781030867223,8478.508410275985,-50127.58673758349,-68743.10299671924,-28517.294349347874,-52189.33399788547,-66963.09947527641,-70914.6867292746
9085.22416177084,8539.327506938876,-50092.069815644005,-68693.30331007282,-28939.943485253276,-52140.83071241745,-66980.17620804027,-70874.05125785485
9110.61574347207,8699.81303212798,-49898.79428133897,-68485.78971454976,-29626.812592364862,-51938.100390207816,-66836.4768429371,-70673.22083392392
9116.002513885798,8673.9967672821,-49903.26463023003,-68500.74303159035,-29274.54909974922,-51955.75826832751,-66792.5109615935,-70690.00699400986
