Fp1,Fp2,C3,C4,P7,P8,O1,O2
14188.149772661898,5421.661486823737,-28826.396623420314,-35539.36309091605,-38012.2706904734,-39691.91487931191,-28999.22031154875,-38785.39517943802
14147.827225664525,5420.163919945231,-28835.00204503561,-35530.31063441165,-38226.2215883996,-39685.43287341987,-29117.349280995048,-38843.956749910925
14043.556337780517,5506.419301798261,-28723.131564036797,-35397.72008630277,-38338.67321475425,-39568.488546429704,-29103.24533024375,-38776.23096421134
14075.139352695865,5519.0480374155095,-28697.00237476854,-35395.171987434864,-38137.19459023412,-39553.244656711184,-28978.00850606066,-38704.10188485407
14190.608464551982,5445.242577224085,-28800.356841129884,-35522.66633780794,-37994.63516409817,-39673.60880060301,-28970.341857712494,-38765.39036815052
14180.37136559145,5428.434065393694,-28834.979693291152,-35547.70029159788,-38179.21586981009,-39703.44837945085,-29089.47665565928,-38838.45822077492
14072.568902083505,5513.102473390398,-28727.89248560578,-35421.122362747476,-38336.750964731094,-39583.95595359278,-29098.886740074962,-38779.15904273499
14062.622375800895,5536.0130114570875,-28683.457217628627,-35383.996115207214,-38176.95834362011,-39540.034775738095,-28978.522596183135,-38704.817140676634
14174.381098077429,5463.660414655258,-28773.93707918371,-35504.114389910035,-37989.89659427364,-39645.22208514477,-28940.63638933139,-38744.31267312916
14197.38104312194,5430.043390994477,-28829.302350199505,-35553.75761434527,-38123.470619138556,-39703.6718968954,-29051.679855785354,-38828.75756368131
14085.331748167486,5495.735167948624,-28744.768052669533,-35446.916275848904,-38322.51290351307,-39603.98311662473,-29099.981975553274,-38803.94712733592
14050.731247750671,5541.846816759922,-28677.466950114605,-35386.99124896422,-38210.441256814156,-39535.72088905822,-28991.196035289293,-38718.116428627545
14157.930214158323,5482.592342208904,-28757.173270842228,-35492.08915139308,-37996.915042032604,-39631.78868672713,-28926.845363002463,-38738.81414399316
14199.303293145096,5423.807254291446,-28845.082681784952,-35584.82653913814,-38086.81375823185,-39712.992574333264,-29030.602160764,-38838.72644170838
14102.296722209065,5480.223057296641,-28783.101294410386,-35484.89188967847,-38317.55081624399,-39631.207541371296,-29108.207417512825,-38834.27844456177
14049.63601227236,5545.311337150495,-28692.73319157758,-35387.080655942045,-38254.80946955794,-39532.122258200914,-29006.77520117464,-38731.48277181182
14142.37340001743,5492.762385936068,-28748.679607949212,-35473.51485175072,-38024.16181852363,-39601.904404390385,-28918.19523789826,-38729.225245621834
14214.144851463421,5425.327172914407,-28849.37421672037,-35583.28426877073,-38047.8323159018,-39704.43185620688,-28991.710125411766,-38821.53795022225
14129.901126611368,5461.55935067646,-28814.080812225442,-35526.9355209989,-38293.23211827661,-39661.404748130415,-29100.406658697924,-38855.132622138575
14053.25699487412,5535.990659712632,-28706.68068011769,-35409.38769690844,-38291.175757786725,-39552.10471774396,-29029.015186907673,-38762.86462102707
14122.905030596858,5502.194822096208,-28739.470689233625,-35466.719921436306,-38055.923647394615,-39585.29705826009,-28923.58200831199,-38734.612016035564
14222.169127722875,5432.591489862381,-28837.147812503317,-35588.91690837347,-38013.85766432973,-39689.45618742183,-28967.905517566865,-38812.48549371785
14162.847597938491,5455.3008622289735,-28817.008890749086,-35540.03364324971,-38241.93486475168,-39663.349349898024,-29079.55248112112,-38853.1209651376
14055.894500719847,5525.485339818638,-28715.666081388725,-35426.59854013903,-38313.84042666441,-39564.80050859458,-29050.897544729418,-38787.78681609474
14095.41238491683,5500.250220328596,-28726.372566982816,-35467.79280517016,-38097.028505447925,-39587.867508872456,-28940.97166549822,-38746.92782723044
14205.606485081493,5423.159053702242,-28830.151716488806,-35595.8012456657,-38002.1229984907,-39697.10048402554,-28963.189299486796,-38821.7614676668
14173.867007954957,5425.394228147773,-28837.974827048165,-35578.12101580155,-38213.27992835998,-39685.63403911996,-29081.65354509992,-38877.1267386826
14056.430942586774,5499.959647650677,-28739.425985744714,-35461.802537656135,-38343.36708108987,-39580.82670936903,-29084.000478267728,-38818.498112976326
14085.376451656397,5515.1141303913755,-28708.35706095184,-35453.39828174094,-38141.73199435854,-39560.39721493688,-28959.188337229294,-38746.52549583024
14204.600656581004,5439.989917277088,-28811.040974979518,-35577.4951669568,-37994.277536186884,-39673.31822792509,-28946.626656845412,-38795.58757490964
14191.99427270821,5412.1619954302305,-28853.37517897787,-35597.2541090553,-38182.30041054492,-39707.29287949716,-29078.300783431627,-38877.66318054953
14081.800172543548,5491.890667902311,-28750.64656146128,-35476.487633763274,-38347.12217415836,-39594.08129383103,-29103.491199432756,-38832.35619453862
14078.514466108618,5530.872110232367,-28693.91783403371,-35428.76665935119,-38183.61916346779,-39535.89970301386,-28978.50024443868,-38744.08915568461
14191.346072119008,5463.861580355356,-28778.02744841903,-35539.18427696041,-37984.91215526011,-39637.73425075224,-28928.141764180873,-38767.08910072912
14219.486918388238,5435.519568386027,-28835.829059580454,-35597.11999858856,-38114.5969765898,-39694.50768166872,-29039.811079479587,-38851.35517732563
