Fp1,Fp2,C3,C4,P7,P8,O1,O2
14360.146446245486,5008.154214400556,-24632.985846160158,-32272.141548650452,-36144.82714472141,-35846.587818454245,-22360.171062966714,-32261.613877012
14232.517985405682,5060.7925725928035,-24570.378609940843,-32187.78606507612,-36315.48271363768,-35773.60937280767,-22465.67129679576,-32260.250420600227
14254.355639738518,5066.984005806924,-24539.309685147964,-32177.258393437674,-36106.024516346995,-35747.50253528387,-22287.17026557568,-32155.13016642692
14380.263016255263,5009.830595234704,-24605.58260745795,-32275.38255159647,-35914.4253628761,-35838.65294917261,-22168.504854262454,-32152.783233259113
14366.494341670794,4986.338911812176,-24647.872107967392,-32301.44468563136,-36099.788379643964,-35865.98913264145,-22335.315923132413,-32249.365121050494
14233.769683095179,5037.189130448,-24598.38534574334,-32223.727670160257,-36324.91514979782,-35809.103943002694,-22489.319442429478,-32285.217319156807
14228.494671403727,5062.7818778493265,-24548.987990497113,-32182.04166675111,-36166.26246765405,-35758.96898018944,-22344.36837963681,-32196.167969246864
14359.788818334202,5012.512804569341,-24590.67399390626,-32260.026903155675,-35916.5264268549,-35821.44210594203,-22169.309517062848,-32155.35368387147
14383.883998857022,4982.561466999229,-24645.74869224414,-32306.496179878257,-36043.9090185057,-35879.73545548147,-22294.07695461237,-32248.00166463872
14261.731715408769,5029.164854188544,-24596.552502698007,-32226.074603328063,-36295.45555060572,-35816.61412913968,-22469.359334630888,-32279.00353419823
14221.319761433573,5067.05106104029,-24532.291237389,-32157.432396105814,-36198.44897966969,-35736.617235734135,-22365.893109547273,-32191.831730822534
14341.639201836491,5030.550662344774,-24567.562290139474,-32226.767507406177,-35927.054098493354,-35803.51600688887,-22168.594261240276,-32133.448974305273
14390.254246026785,4986.875353679104,-24634.81868920549,-32297.35431639604,-35986.465035255555,-35861.831708172766,-22242.712645854073,-32205.75686761819
14280.037794117665,5022.124054685122,-24604.912055124292,-32227.728632417755,-36259.08926237694,-35813.77545759385,-22445.867651208362,-32273.52735680668
14204.846525770012,5062.580712149228,-24540.0919962039,-32155.51014608266,-36240.13498307884,-35751.81642196375,-22404.80749664396,-32215.166952033873
14313.230134633797,5037.166778703544,-24551.13375796482,-32204.90750132889,-35957.83245060831,-35785.7463700469,-22192.95766269656,-32143.194334887787
14395.931589118432,4983.075557121701,-24624.872162922882,-32287.407790113426,-35942.54385740088,-35855.52851623637,-22206.949854725583,-32195.94445180231
14300.64610250546,5008.869470223126,-24614.50095349562,-32248.113423360996,-36221.583035180935,-35826.91828333357,-22418.777336928528,-32269.839318971553
14206.165278692875,5060.9043313150805,-24542.14835669379,-32150.346893113485,-36269.37106482638,-35750.60942776316,-22426.399281787788,-32222.252455026206
14277.087363849565,5032.696429812483,-24551.20081319819,-32194.737457601725,-36006.35808782078,-35767.75321576038,-22223.73601481152,-32149.944561713288
14390.455411726882,4982.181487343489,-24616.423203518774,-32278.847071987042,-35917.44284837757,-35840.7093096625,-22181.468866046533,-32172.631582335423
14321.768501015724,4987.814126946227,-24632.248238593133,-32263.089092146052,-36178.06418872645,-35834.09319330373,-22389.22833075861,-32259.311647333107
14206.433499626339,5042.0618107392565,-24562.399037170297,-32173.74916955819,-36299.07653320748,-35769.02726519433,-22452.506119311587,-32235.99877786622
