Fp1,Fp2,C3,C4,P7,P8,O1,O2
48049.29918638458,14137.120740070432,-24725.432661227307,-35583.53013795974,-28358.686370693016,-23345.346551578827,-44304.48792034244,-30872.810587025953
48285.646532255,14080.481419620684,-24839.135985271452,-35700.18389227198,-27065.727360931323,-23457.26173606655,-44417.85596821976,-30987.89971922633
48183.63317056098,14122.41329221884,-24735.356835765462,-35591.822635152654,-27904.61068208345,-23370.33580187986,-44327.59962410923,-30902.426648429235
47925.783446524554,14179.410240579873,-24614.210380817698,-35470.318552293604,-29314.804591513228,-23256.07368422433,-44209.80593082976,-30785.504673183525
48002.80755791754,14156.119722857444,-24688.351117175953,-35551.61184687756,-28659.116167916796,-23313.405908752193,-44274.514231027875,-30840.646426754767
48257.6397964525,14080.280253920586,-24834.44211893584,-35697.65814514853,-27156.52014690878,-23448.186927817696,-44409.02702915991,-30977.439102821245
48216.132606998995,14097.714614595727,-24775.14294089591,-35629.61943502658,-27614.775611731486,-23406.7244418531,-44359.31674949131,-30932.825020888453
47957.70173760674,14178.42676382384,-24613.383366272854,-35459.7685289107,-29180.604717803566,-23253.79380628989,-44202.67572434851,-30778.17330100218
47957.321757950995,14161.238272337709,-24659.807939506525,-35512.429238847406,-28926.53243858009,-23286.405001450184,-44235.82336137573,-30809.353984517336
48223.17340650242,14087.768088313114,-24818.550028628117,-35677.36276118312,-27330.573180982257,-23434.038273577487,-44388.48577600548,-30965.07858813746
48262.04309011019,14098.631036118393,-24785.871778234457,-35638.22485664187,-27376.908347238106,-23412.647654133758,-44363.89885710464,-30939.93287562524
47994.91739212482,14166.289766584609,-24637.88087819587,-35486.0765321346,-28969.894822823386,-23276.816103078858,-44225.69802113748,-30798.803961134432
47925.33641163545,14165.820379951047,-24644.027607921078,-35498.95113694086,-29131.788507913174,-23277.911338557165,-44224.22280600343,-30798.602795434334
48180.79449901516,14095.88177155039,-24802.993214487222,-35658.944923751944,-27550.02260804446,-23420.962503071132,-44373.06307233132,-30933.719090666666
48281.13147987503,14080.839047531968,-24820.606389118006,-35671.64071460256,-27178.961298341907,-23451.897317397277,-44399.996924399966,-30971.448835307223
48043.30891887056,14150.75530418817,-24663.40657036383,-35508.785904501194,-28709.094668518865,-23310.47783022855,-44250.888437138616,-30823.793211435466
47914.1605394078,14178.0467841681,-24620.15594484281,-35468.70922669282,-29287.60251851112,-23254.8890417682,-44202.1839859705,-30761.99063801654
48130.860701902,14102.69905360926,-24780.037972931623,-35632.2122373834,-27840.058844096526,-23397.24730220405,-44349.68314763107,-30913.468410190155
48288.395796823,14070.981928227178,-24839.91829632739,-35688.22570898839,-27082.602927995078,-23458.826358178423,-44416.201939130064,-30980.501291811623
48087.0512827696,14137.456016237262,-24695.12369574591,-35536.07738448112,-28434.123508229677,-23327.040472869932,-44288.90875445709,-30850.458842570646
47897.687303744235,14171.832999209524,-24622.413471032796,-35463.9706568683,-29375.646039920575,-23252.452701622573,-44216.37734369962,-30774.977001545074
48078.17764022084,14121.854498607458,-24753.014713885157,-35599.601042223105,-28150.144594925,-23364.881976232766,-44330.75122007742,-30890.133188978816
48279.83507869662,14067.562111325517,-24849.19427027634,-35697.14405502607,-27048.561221189648,-23468.035276894007,-44426.640203790696,-30996.929823986273
48136.18041708236,14122.74856838567,-24717.922475090323,-35560.306675470674,-28128.0387196587,-23354.823691227877,-44312.601603579715,-30881.34895340788
47895.83210895445,14163.451095038785,-24620.312407053996,-35460.282619033176,-29369.119330539626,-23252.7879777894,-44214.29863146527,-30774.977001545074
48010.89888941037,14112.064434536032,-24728.248981028675,-35576.735207645324,-28457.59283990775,-23351.068598159385,-44312.042809968334,-30873.883470759807
48262.53482848821,14058.710820521215,-24849.238973765252,-35698.19458701546,-27094.31524208966,-23470.27045133954,-44434.91034923916,-31000.439047865755
48171.943208210854,14089.578579613993,-24765.50933903567,-35604.13844634753,-27834.470907982697,-23396.844970803853,-44362.98243558198,-30928.131154552837
47914.1605394078,14157.885510669412,-24626.459136779205,-35457.51100272072,-29300.387716339555,-23261.147530215687,-44217.36082045565,-30785.124693527785
47958.528752151586,14122.122719540921,-24710.926379075812,-35547.11914624204,-28749.730139938612,-23331.197897338618,-44271.85437343769,-30851.91170596024
48223.41927569143,14050.217157628198,-24862.091226827055,-35698.55221492675,-27214.23235109238,-23478.585300276914,-44420.962860699045,-31003.545940345044
48207.750702828256,14074.245282917653,-24805.8542377775,-35633.12865890606,-27559.49974769351,-23437.12281431232,-44381.86965964671,-30965.816195704487
47944.044821744545,14149.794179176592,-24646.128671899878,-35466.719921436306,-29148.284095321193,-23281.487617670016,-44222.971108313934,-30805.397725748746
47923.36945812339,14136.494891225684,-24678.091666470966,-35507.176578900406,-29013.100744855496,-23310.120202317263,-44233.20820727447,-30823.99437713556
48188.08116770758,14062.287099634064,-24835.112671269497,-35671.30543843573,-27408.357251686724,-23460.145111101283,-44377.95810436703,-30974.868652208886
48244.18404629041,14065.282233391075,-24816.560723371593,-35649.11015619161,-27332.22721007195,-23450.44445400768,-44371.118470563706,-30968.766625972585
47983.58505768598,14131.443396978784,-24658.73505577267,-35491.61976475952,-28918.7763832541,-23308.108545316285,-44223.01581180284,-30829.492906271567
47905.9574491927,14145.279126796619,-24641.01012241961,-35485.54009026767,-29200.274252924235,-23282.247576981496,-44194.69615157797,-30802.648461180743
48155.55937952511,14078.089782963967,-24801.29448190862,-35658.72140630739,-27645.553963846443,-23429.031482819497,-44350.0184237979,-30961.12232936887
48269.73209020282,14057.056791431522,-24832.944552057335,-35691.64552589006,-27167.98659181435,-23467.252965838074,-44394.16311909713,-30999.008536220615
48042.14662815889,14129.521146955627,-24674.8730152694,-35528.96952974433,-28657.886821971755,-23323.643007712726,-44251.357823772174,-30853.29751411647
47885.63971348283,14144.206243062765,-24634.729282227672,-35494.83841596108,-29333.088318477672,-23274.13389374422,-44205.38028542761,-30796.121751799794
48099.14357651992,14082.537780110571,-24774.315926351064,-35644.79626951173,-27942.228668001735,-23394.095706235854,-44328.91837703209,-30921.20211377169
48277.59990425109,14047.043209915544,-24841.594677161538,-35716.94770061346,-27089.46491354286,-23469.465788539146,-44402.232098845496,-30998.293280398048
48096.170794507365,14114.009036303645,-24706.947768562768,-35579.1491960465,-28376.344248812708,-23350.509804548004,-44287.27707711185,-30880.857215029864
47894.78157696505,14159.696001970293,-24620.02183437608,-35492.80440721565,-29403.317499556244,-23258.97941100352,-44195.70198007846,-30788.298641240435
48044.5382648156,14093.400727915852,-24748.32084754954,-35625.86434195809,-28252.69439848595,-23366.44659834464,-44306.36546687668,-30897.621023371343
48272.190782092905,14047.847872715936,-24845.39447371894,-35722.64739544957,-27075.584480236113,-23462.179119846718,-44406.635392503194,-30998.248576909136
48147.9150829214,14098.27340820711,-24730.148879307377,-35603.42319052496,-28065.431483439384,-23367.72064777859,-44304.24205115343,-30905.77941009753
47905.041027670035,14149.682420454315,-24614.746822684625,-35488.40111355795,-29370.639249162585,-23254.106730712265,-44186.51541310733,-30790.064429052407
48005.93680214129,14109.449280434763,-24712.066318043035,-35589.252184540295,-28548.005646229467,-23335.400025296214,-44271.02735889285,-30869.033142213008
48268.52509600224,14059.135503665866,-24831.268171223186,-35706.554139441745,-27126.546457594213,-23447.22580280612,-44387.23407831599,-30983.65288777982
48193.624400332505,14080.369660898408,-24767.56569952556,-35635.07326067368,-27750.048369175,-23397.135543481774,-44337.00970852491,-30936.133079067837
47933.18187393926,14150.867062910445,-24622.167601843787,-35487.99878215775,-29257.405311752,-23266.958983774064,-44197.02073300132,-30802.782571647476
47967.335339466976,14131.286934767597,-24677.331707159487,-35545.46511715235,-28826.642492609324,-23303.191161536117,-44242.1936085455,-30836.846630197364
48240.11602879954,14064.9693089687,-24820.695796095824,-35690.34912471165,-27266.982468006907,-23440.475575980614,-44381.28851429087,-30975.606259775912
48243.64760442348,14081.64371033236,-24774.941775195814,-35638.71659501989,-27494.947909706585,-23409.361947698828,-44343.04467952784,-30951.533430997544
47974.800822115045,14148.967164631746,-24626.83911643495,-35484.26604083372,-29085.833321313065,-23272.993954776997,-44200.61936385863,-30811.991490363063
47942.1672752103,14150.621193721438,-24640.40662531932,-35501.54393929767,-29070.27650717217,-23275.36323968926,-44196.57369811222,-30801.6202809358
48202.63215334799,14078.045079475056,-24800.869798763968,-35666.87979303358,-27470.20452859456,-23426.997474074065,-44354.332310477774,-30961.79288170253
48271.564933248155,14068.366774125907,-24802.14384819792,-35662.70001682043,-27284.05920077076,-23437.97218060162,-44363.38476698217,-30978.579041788467
48027.12625588492,14146.37436227493,-24633.87991593837,-35489.295183336166,-28853.352827233415,-23280.235919980518,-44202.74277958188,-30812.215007807616
47913.17706265176,14151.314097799552,-24627.532020513063,-35489.295183336166,-29238.093404542615,-23266.780169818423,-44190.27050617582,-30798.871016367797
48151.24549284524,14084.348271411453,-24782.206092143788,-35653.15582193802,-27722.846296172895,-23411.44065993317,-44336.04858351333,-30945.297294294513
48278.82925019613,14051.938241951257,-24826.127269998466,-35693.36661021312,-27127.79815528371,-23462.089712868896,-44386.138842837674,-30984.815178491495
48054.99888122069,14111.975027558212,-24675.32005015851,-35541.97824501732,-28564.21066095956,-23331.197897338618,-44245.09933532469,-30854.951543206163
47887.629018739346,14141.300516283574,-24618.501915753117,-35489.25047984725,-29341.202001714948,-23269.17180647514,-44185.80015728476,-30797.172283789194
